# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
5.27219	2498.54811	2497.05635	68.25169	8.85909	221.99951	582.57551	1615.37056
5.26008	2489.31539	2487.53348	68.55474	8.90761	223.90114	587.29304	1598.87696
5.24798	2480.35956	2478.12009	68.85979	8.95654	225.82829	592.04711	1582.42836
5.23587	2471.68900	2468.82167	69.16685	9.00590	227.78140	596.83742	1566.03009
5.22377	2463.21551	2459.64347	69.47594	9.05568	229.76095	601.66365	1549.68725
5.21166	2454.85364	2450.59054	69.78709	9.10590	231.76740	606.52542	1533.40474
5.19956	2446.52058	2441.66769	70.10030	9.15654	233.80124	611.42235	1517.18726
5.18745	2438.22480	2432.87950	70.41560	9.20763	235.86297	616.35397	1501.03933
5.17535	2429.98925	2424.23032	70.73300	9.25917	237.95308	621.31982	1484.96525
5.16324	2421.79751	2415.72430	71.05252	9.31116	240.07210	626.31937	1468.96914
5.15114	2413.65314	2407.36535	71.37419	9.36360	242.22056	631.35206	1453.05493
5.13903	2405.57136	2399.15715	71.69802	9.41651	244.39900	636.41727	1437.22636
5.12693	2397.57026	2391.10319	72.02402	9.46989	246.60796	641.51435	1421.48697
5.11482	2389.63749	2383.20672	72.35223	9.52374	248.84801	646.64260	1405.84015
5.10272	2381.77417	2375.47078	72.68265	9.57807	251.11973	651.80125	1390.28908
5.09061	2373.99397	2367.89821	73.01531	9.63288	253.42371	656.98951	1374.83680
5.07851	2366.27415	2360.49162	73.35023	9.68819	255.76054	662.20652	1359.48614
5.06640	2358.64042	2353.25343	73.68743	9.74399	258.13085	667.45136	1344.23981
5.05430	2351.11264	2346.18585	74.02693	9.80030	260.53526	672.72305	1329.10031
5.04220	2343.67324	2339.29088	74.36874	9.85712	262.97441	678.02058	1314.07003
5.03009	2336.39602	2332.57032	74.71290	9.91445	265.44897	683.34285	1299.15115
5.01799	2329.29499	2326.02579	75.05942	9.97231	267.95960	688.68871	1284.34576
5.00588	2322.36695	2319.65870	75.40832	10.03069	270.50699	694.05694	1269.65576
4.99378	2315.63707	2313.47027	75.75962	10.08962	273.09185	699.44627	1255.08292
4.98167	2309.06007	2307.46155	76.11335	10.14908	275.71489	704.85533	1240.62889
4.96957	2302.62007	2301.63336	76.46953	10.20909	278.37685	710.28273	1226.29516
4.95746	2296.34848	2295.98639	76.82818	10.26967	281.07848	715.72695	1212.08311
4.94536	2290.25970	2290.52112	77.18932	10.33080	283.82055	721.18645	1197.99399
4.93325	2284.40242	2285.23785	77.55298	10.39251	286.60384	726.65959	1184.02893
4.92115	2278.78504	2280.13671	77.91918	10.45479	289.42915	732.14465	1170.18894
4.90904	2273.39434	2275.21768	78.28794	10.51766	292.29732	737.63984	1156.47492
4.89694	2268.20160	2270.48054	78.65928	10.58112	295.20918	743.14330	1142.88765
4.88483	2263.19102	2265.92492	79.03323	10.64519	298.16558	748.65307	1129.42784
4.87273	2258.34234	2261.55029	79.40982	10.70986	301.16741	754.16713	1116.09606
4.86062	2253.66802	2257.35595	79.78907	10.77515	304.21557	759.68335	1102.89281
4.84852	2249.19576	2253.34105	80.17100	10.84107	307.31097	765.19953	1089.81848
4.83641	2244.93816	2249.50460	80.55564	10.90762	310.45456	770.71340	1076.87338
4.82431	2240.87179	2245.84543	80.94301	10.97480	313.64731	776.22257	1064.05774
4.81220	2237.00881	2242.36225	81.33314	11.04264	316.89018	781.72460	1051.37169
4.80010	2233.35158	2239.05361	81.72605	11.11114	320.18419	787.21692	1038.81531
4.78800	2229.90215	2235.91794	82.12177	11.18031	323.53038	792.69690	1026.38858
4.77589	2226.70146	2232.95350	82.52034	11.25015	326.92978	798.16182	1014.09141
4.76379	2223.74132	2230.15844	82.92176	11.32068	330.38348	803.60886	1001.92366
4.75168	2221.04267	2227.53079	83.32608	11.39190	333.89259	809.03511	989.88512
4.73958	2218.62630	2225.06843	83.73331	11.46383	337.45822	814.43757	977.97550
4.72747	2216.48120	2222.76913	84.14349	11.53647	341.08152	819.81317	966.19447
4.71537	2214.57238	2220.63055	84.55665	11.60983	344.76369	825.15873	954.54165
4.70326	2212.88893	2218.65021	84.97280	11.68393	348.50592	830.47099	943.01657
4.69116	2211.39319	2216.82556	85.39199	11.75877	352.30944	835.74659	931.61876
4.67905	2210.13809	2215.15390	85.81424	11.83436	356.17551	840.98211	920.34767
4.66695	2209.10880	2213.63247	86.23958	11.91072	360.10543	846.17403	909.20271
4.65484	2208.26803	2212.25839	86.66803	11.98786	364.10051	851.31873	898.18326
4.64274	2207.59654	2211.02870	87.09964	12.06578	368.16209	856.41256	887.28864
4.63063	2207.07224	2209.94036	87.53442	12.14449	372.29155	861.45173	876.51815
4.61853	2206.71061	2208.99023	87.97242	12.22402	376.49031	866.43243	865.87105
4.60642	2206.53290	2208.17512	88.41365	12.30436	380.75979	871.35075	855.34657
4.59432	2206.56165	2207.49176	88.85816	12.38553	385.10148	876.20270	844.94389
4.58221	2206.78630	2206.93683	89.30598	12.46755	389.51686	880.98426	834.66218
4.57011	2207.22065	2206.50694	89.75713	12.55042	394.00748	885.69132	824.50059
4.55800	2207.81561	2206.19866	90.21165	12.63416	398.57490	890.31972	814.45822
4.54590	2208.53459	2206.00853	90.66958	12.71878	403.22074	894.86526	804.53417
4.53380	2209.37331	2205.93303	91.13094	12.80429	407.94661	899.32369	794.72751
4.52169	2210.28869	2205.96865	91.59577	12.89070	412.75420	903.69070	785.03728
4.50959	2211.30726	2206.11183	92.06410	12.97803	417.64520	907.96197	775.46252
4.49748	2212.38352	2206.35902	92.53598	13.06630	422.62137	912.13314	766.00223
4.48538	2213.54430	2206.70667	93.01142	13.15551	427.68448	916.19983	756.65543
4.47327	2214.73633	2207.15123	93.49048	13.24568	432.83633	920.15764	747.42109
4.46117	2215.94193	2207.68916	93.97318	13.33682	438.07879	924.00218	738.29818
4.44906	2217.15754	2208.31697	94.45957	13.42895	443.41374	927.72902	729.28568
4.43696	2218.41281	2209.03118	94.94967	13.52209	448.84310	931.33379	720.38252
4.42485	2219.75712	2209.82837	95.44353	13.61624	454.36884	934.81210	711.58766
4.41275	2221.14216	2210.70517	95.94119	13.71142	459.99294	938.15959	702.90003
4.40064	2222.57100	2211.65827	96.44267	13.80765	465.71745	941.37194	694.31856
4.38854	2223.98324	2212.68446	96.94803	13.90495	471.54444	944.44487	685.84217
4.37643	2225.26231	2213.78057	97.45730	14.00333	477.47601	947.37416	677.46977
4.36433	2226.42338	2214.94357	97.97051	14.10280	483.51431	950.15564	669.20030
4.35222	2227.50651	2216.17051	98.48772	14.20339	489.66153	952.78521	661.03265
4.34012	2228.49898	2217.45855	99.00896	14.30511	495.91987	955.25886	652.96575
4.32801	2229.40584	2218.80500	99.53427	14.40798	502.29160	957.57267	644.99849
4.31591	2230.24078	2220.20729	100.06369	14.51201	508.77900	959.72280	637.12979
4.30380	2231.00707	2221.66300	100.59726	14.61723	515.38439	961.70555	629.35857
4.29170	2231.70714	2223.16985	101.13504	14.72365	522.11011	963.51732	621.68372
4.27960	2232.32893	2224.72575	101.67706	14.83130	528.95856	965.15466	614.10417
4.26749	2232.87342	2226.32876	102.22336	14.94018	535.93215	966.61424	606.61883
4.25539	2233.35642	2227.97713	102.77399	15.05033	543.03332	967.89289	599.22661
4.24328	2233.68334	2229.66932	103.32900	15.16175	550.26453	968.98759	591.92645
4.23118	2233.91529	2231.40394	103.88842	15.27448	557.62828	969.89550	584.71726
4.21907	2234.14128	2233.17985	104.45231	15.38853	565.12707	970.61397	577.59797
4.20697	2234.36266	2234.99611	105.02072	15.50392	572.76345	971.14050	570.56752
4.19486	2234.59783	2236.85198	105.59368	15.62068	580.53995	971.47281	563.62486
4.18276	2234.92065	2238.74695	106.17126	15.73883	588.45913	971.60882	556.76892
4.17065	2235.27905	2240.68074	106.75349	15.85838	596.52356	971.54666	549.99866
4.15855	2235.71105	2242.65331	107.34042	15.97937	604.73581	971.28467	543.31304
4.14644	2236.23717	2244.66482	107.93211	16.10182	613.09845	970.82142	536.71102
4.13434	2237.02148	2246.71568	108.52861	16.22575	621.61405	970.15571	530.19157
4.12223	2238.10738	2248.80655	109.12996	16.35118	630.28515	969.28657	523.75368
4.11013	2239.55251	2250.93828	109.73622	16.47814	639.11430	968.21327	517.39634
4.09802	2241.24222	2253.11198	110.34745	16.60666	648.10400	966.93534	511.11853
4.08592	2243.12942	2255.32897	110.96368	16.73677	657.25674	965.45252	504.91927
4.07381	2245.21077	2257.59080	111.58499	16.86848	666.57496	963.76482	498.79755
4.06171	2247.63805	2259.89922	112.21141	17.00182	676.06105	961.87252	492.75242
4.04960	2250.36600	2262.25620	112.84302	17.13684	685.71734	959.77612	486.78288
4.03750	2253.31977	2264.66387	113.47985	17.27354	695.54610	957.47639	480.88798
4.02540	2256.32867	2267.12458	114.12198	17.41197	705.54951	954.97434	475.06678
4.01329	2259.38005	2269.64084	114.76945	17.55214	715.72968	952.27125	469.31831
4.00119	2262.49123	2272.21529	115.42233	17.69410	726.08859	949.36862	463.64165
3.98908	2265.77210	2274.85075	116.08068	17.83788	736.62812	946.26821	458.03587
3.97698	2269.20336	2277.55013	116.74455	17.98349	747.35000	942.97204	452.50005
3.96487	2272.75177	2280.31643	117.41400	18.13099	758.25582	939.48233	447.03330
3.95277	2276.37352	2283.15276	118.08910	18.28039	769.34701	935.80157	441.63470
3.94066	2280.17600	2286.06226	118.76990	18.43174	780.62480	931.93245	436.30337
3.92856	2284.13407	2289.04808	119.45648	18.58507	792.09021	927.87789	431.03843
3.91645	2288.12654	2292.11341	120.14889	18.74042	803.74406	923.64103	425.83902
