# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
3.25069	2334.22885	2367.07073	92.53901	46.57277	1898.23540	16.59900	313.12455
3.23859	2336.51467	2367.61170	93.21602	47.10230	1901.49318	16.21317	309.58704
3.22648	2336.06315	2367.55971	93.90044	47.64125	1904.09361	15.83857	306.08584
3.21438	2335.16456	2366.90139	94.59235	48.18986	1906.02380	15.47479	302.62059
3.20227	2334.89150	2365.62462	95.29188	48.74834	1907.27205	15.12146	299.19088
3.19017	2333.34436	2363.71855	95.99914	49.31695	1907.82790	14.77820	295.79635
3.17806	2331.66291	2361.17369	96.71423	49.89592	1907.68226	14.44464	292.43663
3.16596	2331.71712	2357.98199	97.43728	50.48551	1906.82739	14.12045	289.11135
3.15385	2329.15775	2354.13683	98.16840	51.08598	1905.25701	13.80530	285.82014
3.14175	2328.44218	2349.63314	98.90771	51.69760	1902.96633	13.49887	282.56264
